population	id_pl	bud_h	shoot_h	veg_h_min	veg_h_max	veg_h_mean	diff_veg_h_max_shoot_h	diff_veg_h_mean_shoot_h	a	b	c	d	e	f	n_fl	phen_index	most_adv	phen_index_p	most_adv_p	fr_int_h_max	fr_pred_h_max	n_intact_fruits	n_predated_fr	n_fruits_total	n_predated	fruit_set	n_fl_corrected	n_eggs_max	n_redants	n_blackants	dist_closest_redants	dist_closest_redants1	days_datalog	avg_d_mean	avg_d_sd	avg_d_min	avg_d_max	avg_d_range	avg_day_mean	avg_day_sd	avg_day_min	avg_day_max	avg_day_range	avg_d_mean_ja	avg_d_sd_ja	avg_d_min_ja	avg_d_max_ja	avg_d_range_ja	avg_day_mean_ja	avg_day_sd_ja	avg_day_min_ja	avg_day_max_ja	avg_day_range_ja
Tånga Hed	T_15_046	22,7	21,5	10	15	12,5	-6,5	-9	1	2	1	0	0	0	4	2	3	3,476190476	5,214285714	42,3	38,1	2	1	3	1	0,75	4	2	12	0	33	0	8	16,7125	2,89030848	13,5625	21,3125	7,75	18,3041667	2,42727587	15,375	21,3125	5,9375	16,7125	2,89030848	13,5625	21,3125	7,75	18,3041667	2,42727587	15,375	21,3125	5,9375
Tånga Hed	T_15_047	8,7	12	10	15	12,5	3	0,5	1	0	0	0	0	0	1	1	1	1,738095238	1,738095238	35,6		1	0	1	0	1	1	0	7	1	20	0	8	16,7125	2,89030848	13,5625	21,3125	7,75	18,3041667	2,42727587	15,375	21,3125	5,9375	16,7125	2,89030848	13,5625	21,3125	7,75	18,3041667	2,42727587	15,375	21,3125	5,9375
Tånga Hed	T_15_048	22,5	16,5	10	15	12,5	-1,5	-4	1	0	1	0	0	0	2	2	3	3,476190476	5,214285714		50,5	1	1	2	1	1	2	0	11	3	17	0	33	17,0984848	2,81526319	13,6666667	21,6969697	8,03030303	18,6212121	2,32139797	15,7121212	21,6969697	5,98484848	17,4736842	2,86656899	13,9736842	22,0526316	8,07894737	19,0368421	2,32590912	16,0789474	22,0526316	5,97368421
Tånga Hed	T_15_049	44,5	27,5	15	40	27,5	12,5	0	1	0	4	1	0	0	6	2,833333333	4	4,924603175	6,952380952	49	49,8	4	1	5	1	0,833333333	6	3	6	0	60	0	33	16,3598485	2,37443256	13,5151515	20,4090909	6,89393939	17,6242424	1,99294678	15,2121212	20,4090909	5,1969697	16,6414474	2,48535135	13,6842105	20,7631579	7,07894737	17,9736842	2,05913551	15,4210526	20,7631579	5,34210526
Tånga Hed	T_15_050	22,6	30,3	15	15	15	-15,3	-15,3	0	6	1	0	0	0	7	2,142857143	3	3,724489796	5,214285714	42,6	42,4	5	1	6	1	0,857142857	7	2	3	1	40	0	33	16,5170455	2,28620945	13,6363636	20,1363636	6,5	17,7666667	1,83041121	15,4545455	20,1363636	4,68181818	16,875	2,42480338	13,8421053	20,6315789	6,78947368	18,2157895	1,91339003	15,7631579	20,6315789	4,86842105
Tånga Hed	T_15_051	25,6	33	15	20	17,5	-13	-15,5	4	4	1	0	0	0	9	1,666666667	3	2,896825397	5,214285714	37,3		3	0	3	0	0,333333333	9	8	11	7	45	0	33	16,4924242	2,10361191	13,8636364	19,8333333	5,96969697	17,6060606	1,75549803	15,3333333	19,8333333	4,5	16,7993421	2,23198238	14	20,2368421	6,23684211	18,0052632	1,80959539	15,6315789	20,2368421	4,60526316
Tånga Hed	T_15_052	30,3	20	15	15	15	-5	-5	1	4	3	1	0	0	9	2,444444444	4	4,248677249	6,952380952	43,3	37,6	6	1	7	2	0,777777778	9	4	10	1	53	0	33	16,6780303	2,71128604	13,4242424	21,1060606	7,68181818	18,1272727	2,26657577	15,2424242	21,1060606	5,86363636	17,0164474	2,83235279	13,6578947	21,5526316	7,89473684	18,5473684	2,32067147	15,6052632	21,5526316	5,94736842
Tånga Hed	T_15_053	20	19	10	15	12,5	-4	-6,5	1	3	1	0	0	0	5	2	3	3,476190476	5,214285714	40		2	0	2	0	0,4	5	0	10	15	26	0	33	16,7954545	2,82056538	13,3333333	21,3939394	8,06060606	18,3060606	2,34180197	15,3333333	21,3939394	6,06060606	17,1743421	2,96639902	13,5789474	21,9210526	8,34210526	18,7789474	2,4229407	15,6842105	21,9210526	6,23684211
Tånga Hed	T_15_054	39,9	19,7	10	20	15	0,3	-4,7	0	0	2	1	0	0	3	3,333333333	4	5,793650794	6,952380952	48	41,6	1	2	3	1	1	3	5	5	1	45	0	33	16,5113636	2,1847192	13,8030303	19,8484848	6,04545455	17,7	1,76592977	15,3333333	19,8484848	4,51515152	16,7796053	2,32200187	13,9210526	20,2894737	6,36842105	18,0578947	1,83696665	15,6052632	20,2894737	4,68421053
Tånga Hed	T_15_055	12,6	16,5	10	30	20	13,5	3,5	1	1	0	0	0	0	2	1,5	2	2,607142857	3,476190476	36,1		1	0	1	0	0,5	2	0	20	2	70	0	33	16,2954545	2,56515796	13,1363636	20,3939394	7,25757576	17,7212121	2,00861446	15,3787879	20,3939394	5,01515152	16,6184211	2,72971622	13,2631579	20,8947368	7,63157895	18,1631579	2,06396649	15,7631579	20,8947368	5,13157895
