"id_pl"	"population"	"shoot_h"	"veg_height"	"fl_phenology"	"n_intact_fruits"	"fl_number"	"n_eggs"	"n_myrmica"	"soil_temp"
"261"	"T_15_061"	"Tånga Hed"	23	10	3	3	4	3	9	14,1842105
"262"	"T_15_062"	"Tånga Hed"	18	15	3	3	3	0	6	14,1842105
"263"	"T_15_063"	"Tånga Hed"	31	20	4	4	7	4	25	13,7631579
"264"	"T_15_064"	"Tånga Hed"	19,2	15	2	1	3	3	1	14,0789474
"265"	"T_15_065"	"Tånga Hed"	29,5	27,5	4	1	11	26	22	13,4210526
"266"	"T_15_066"	"Tånga Hed"	25	22,5	3	5	8	5	4	12,8157895
"267"	"T_15_067"	"Tånga Hed"	18	10	2	1	2	0	15	13,4736842
"268"	"T_15_068"	"Tånga Hed"	13	6	4	0	2	4	6	13,2894737
"269"	"T_15_069"	"Tånga Hed"	22,3	10	3	0	5	14	10	14
"270"	"T_15_070"	"Tånga Hed"	28	17	3	0	4	6	8	12,7631579
"271"	"T_15_071"	"Tånga Hed"	21	12	2	1	5	0	0	12,7631579
"272"	"T_15_072"	"Tånga Hed"	21	27,5	5	2	5	8	60	13,6052632
"273"	"T_15_073"	"Tånga Hed"	25	12,5	2	0	3	6	1	13,5
"274"	"T_15_074"	"Tånga Hed"	28	22	4	1	7	17	40	13,5789474
"275"	"T_15_075"	"Tånga Hed"	21	12	3	3	4	0	30	13,5526316
"276"	"T_15_076"	"Tånga Hed"	31	15	4	6	14	16	0	13,9473684
"277"	"T_15_077"	"Tånga Hed"	35	23	5	2	14	34	0	13,2105263
"278"	"T_15_078"	"Tånga Hed"	21	15	2	3	3	3	30	13,5526316
"279"	"T_15_079"	"Tånga Hed"	32	30	5	3	9	14	0	13,6052632
"280"	"T_15_080"	"Tånga Hed"	36	20	5	1	13	37	0	13,7631579
"281"	"T_15_081"	"Tånga Hed"	29	15	5	1	7	19	0	13,7631579
"282"	"T_15_082"	"Tånga Hed"	24	42,5	5	0	5	12	0	13,6315789
"283"	"T_15_083"	"Tånga Hed"	34	47,5	5	1	11	24	0	13,2105263
"284"	"T_15_084"	"Tånga Hed"	26	38,5	3	0	5	6	0	13,7631579
"285"	"T_15_085"	"Tånga Hed"	24	41	3	4	6	11	2	13,7631579
"286"	"T_15_086"	"Tånga Hed"	33	20	3	4	9	9	20	13,3157895
"287"	"T_15_087"	"Tånga Hed"	21	17,5	2	1	3	0	40	14,4210526
"288"	"T_15_088"	"Tånga Hed"	34	45	2	0	5	12	20	12,7368421
"289"	"T_15_089"	"Tånga Hed"	19	20	5	0	4	12	0	13,5263158
"290"	"T_15_090"	"Tånga Hed"	27	30	5	8	10	6	0	13,5526316
"291"	"T_15_091"	"Tånga Hed"	16	17,5	2	0	2	3	0	13,5263158
"292"	"T_15_092"	"Tånga Hed"	17	38,5	2	1	1	0	1	13,7631579
"293"	"T_15_093"	"Tånga Hed"	37	32,5	3	5	8	4	12	13,5526316
"294"	"T_15_094"	"Tånga Hed"	32	36	5	2	8	5	1	13,5789474
"295"	"T_15_095"	"Tånga Hed"	27	20	5	2	7	14	0	13,2631579
"296"	"T_15_096"	"Tånga Hed"	33	10	3	7	9	4	12	13,8947368
"297"	"T_15_097"	"Tånga Hed"	32	27	5	4	12	11	9	13,9736842
"298"	"T_15_098"	"Tånga Hed"	19	22	4	2	3	0	0	13,3947368
"299"	"T_15_099"	"Tånga Hed"	29	20	4	4	9	5	0	13,3947368
"300"	"T_15_100"	"Tånga Hed"	32	26	4	4	13	8	9	13,5526316
"301"	"T_15_101"	"Tånga Hed"	36	20	5	5	18	37	0	13,8157895
"302"	"T_15_102"	"Tånga Hed"	24	32,5	5	5	7	5	0	13,0263158
"303"	"T_15_103"	"Tånga Hed"	40	22	4	1	7	22	15	13,5263158
