"id_pl"	"population"	"shoot_h"	"veg_h_mean"	"n_intact_fruits"	"n_eggs_max"	"n_redants"	"pop"	"meanT"	"maxT"	"minT"	"sdT"	"rangeT"	"a1"	"b1"	"c1"	"d1"	"e1"	"f1"	"n_fl1"	"phen_index1"	"most_adv1"	"a2"	"b2"	"c2"	"d2"	"e2"	"f2"	"n_fl2"	"phen_index2"	"most_adv2"	"n_fl"	"julian1"	"julian2"
"57"	"H_15_097"	"Högsjön"	24	35	0	10	1	"H"	16.0531914893617	17.6595744680851	14.5425531914894	1.26773560850721	3.11702127659574	5	1	0	0	0	0	6	1.166666667	2	1	0	2	0	0	0	3	2.333333333	3	6	211	241
"58"	"H_15_098"	"Högsjön"	19	25	0	11	4	"H"	15.4297872340426	16.436170212766	14.3617021276596	0.830678792378411	2.07446808510638	2	1	0	0	0	0	3	1.333333333	2	0	0	2	1	0	0	3	3.333333333	4	3	211	241
"59"	"H_15_099"	"Högsjön"	24	50	0	0	4	"H"	14.5531914893617	15.063829787234	13.7872340425532	0.519971824031932	1.27659574468085	1	1	0	0	0	0	2	1.5	2	0	0	1	0	1	0	2	4	5	2	211	241
"60"	"H_15_101"	"Högsjön"	35	45	0	1	6	"H"	14.7617021276596	15.531914893617	13.5744680851064	0.801952236645089	1.95744680851064	5	0	0	0	0	0	5	1	1	0	0	3	1	0	0	4	3.25	4	5	211	241
"61"	"H_15_102"	"Högsjön"	24	30	0	9	3	"H"	14.9829787234043	15.7872340425532	14.0744680851064	0.709498416856883	1.71276595744681	3	1	0	0	0	0	4	1.25	2	1	0	0	1	0	0	2	2.5	4	4	211	241
"62"	"H_15_103"	"Högsjön"	20	35	0	4	0	"H"	14.7425531914894	15.531914893617	13.9148936170213	0.668120096718758	1.61702127659574	3	0	0	0	0	0	3	1	1	0	1	0	0	0	0	1	2	2	3	211	241
"63"	"H_15_104"	"Högsjön"	23	30	0	4	1	"H"	15.3382978723404	16.2978723404255	14.3191489361702	0.812357653368267	1.97872340425532	4	1	0	0	0	0	5	1.2	2	0	0	1	2	0	1	4	4.25	6	5	211	241
"64"	"H_15_105"	"Högsjön"	18	30	0	12	1	"H"	15.2021276595745	16.6063829787234	14.0957446808511	1.00588057302905	2.51063829787234	1	1	0	0	0	0	2	1.5	2	0	0	0	0	1	1	2	5.5	6	2	211	241
"65"	"H_15_106"	"Högsjön"	27	40	1	2	1	"H"	15.1382978723404	16.1276595744681	14.2127659574468	0.786931758323885	1.91489361702128	3	0	0	0	0	0	3	1	1	0	0	0	1	1	0	2	4.5	5	3	211	241
"66"	"H_15_107"	"Högsjön"	32	40	0	14	1	"H"	14.9	15.7659574468085	14.0106382978723	0.711368300414105	1.75531914893617	4	1	0	0	0	0	5	1.2	2	2	0	1	1	0	1	5	3	6	5	211	241
