"id_pl"	"population"	"shoot_h"	"veg_h_mean"	"n_intact_fruits"	"n_eggs_max"	"n_redants"	"pop"	"meanT"	"maxT"	"minT"	"sdT"	"rangeT"	"redants_pres"	"ants_t"	"t_shoot_h"	"t_veg_h_mean"	"t_n_intact_fruits"	"t_n_eggs_max"	"t_n_redants"	"t_meanT"	"id"	"a1"	"b1"	"c1"	"d1"	"e1"	"f1"	"n_fl1"	"phen_index1"	"most_adv1"	"a2"	"b2"	"c2"	"d2"	"e2"	"f2"	"n_fl2"	"phen_index2"	"most_adv2"	"n_fl"	"julian1"	"julian2"
"50"	"H_15_080"	"Högsjön"	25	47.5	0	0	0	"H"	16.5085106382979	17.1170212765957	15.7340425531915	0.590089710523467	1.38297872340426	"0"	0	0.519412385645964	1.07128448182786	-0.654636253008874	-0.59331977671697	-0.639707341928494	-0.139156408974794	51	2	1	0	0	0	0	3	1.333333333	2	2	0	0	0	1	0	3	2.333333333	5	3	211	241
"51"	"H_15_083"	"Högsjön"	14	40	0	0	0	"H"	16.4787234042553	17.3936170212766	15.2659574468085	0.923206697600611	2.12765957446809	"0"	0	-1.19152274012134	0.437051543819715	-0.654636253008874	-0.59331977671697	-0.639707341928494	-0.161065116962173	52	0	1	0	0	0	0	1	2	2	0	0	0	0	1	0	1	5	5	1	211	241
"52"	"H_15_086"	"Högsjön"	20.5	37.5	0	2	3	"H"	15.1382978723404	15.7872340425532	14.3085106382979	0.638544197884827	1.47872340425532	"1"	1.38629436111989	-0.180515620349749	0.225640564483667	-0.654636253008874	-0.193933001451178	-0.245263289197881	-1.14695697639431	53	1	1	0	0	0	0	2	1.5	2	0	0	1	0	1	0	2	4	5	2	211	241
"53"	"H_15_087"	"Högsjön"	31	32.5	1	0	0	"H"	16.3510638297872	17.4042553191489	15.2234042553191	0.865380689642019	2.18085106382979	"0"	0	1.45264972697358	-0.197181394188429	1.29056861307464	-0.59331977671697	-0.639707341928494	-0.254959579765235	54	2	1	0	0	0	0	3	1.333333333	2	0	0	0	1	1	0	2	4.5	5	3	211	241
"54"	"H_15_092"	"Högsjön"	23	35	0	0	15	"H"	15.6978723404255	16.531914893617	14.6702127659574	0.771039119408524	1.86170212765957	"1"	2.77258872223978	0.208333271870092	0.0142295851476189	-0.654636253008874	-0.59331977671697	1.33251292172457	-0.735386247774228	55	1	1	0	0	0	0	2	1.5	2	1	0	0	0	1	0	2	3	5	2	211	241
"55"	"H_15_095"	"Högsjön"	22	40	1	0	8	"H"	14.8659574468085	15.6170212765957	13.7765957446809	0.769748430540525	1.84042553191489	"1"	2.19722457733622	0.0527937149821552	0.437051543819715	1.29056861307464	-0.59331977671697	0.412143465353141	-1.34726516370751	56	3	0	0	0	0	0	3	1	1	1	1	1	0	0	0	3	2	3	3	211	241
"56"	"H_15_096"	"Högsjön"	19	35	0	2	22	"H"	16.3787234042553	18.468085106383	14.6382978723404	1.54262267343448	3.82978723404255	"1"	3.13549421592915	-0.413824955681654	0.0142295851476189	-0.654636253008874	-0.193933001451178	2.252882378096	-0.234615779491238	57	3	1	0	0	0	0	4	1.25	2	0	0	2	0	0	1	3	4	6	4	211	241
"57"	"H_15_097"	"Högsjön"	24	35	0	10	1	"H"	16.0531914893617	17.6595744680851	14.5425531914894	1.26773560850721	3.11702127659574	"1"	0.693147180559945	0.363872828758028	0.0142295851476189	-0.654636253008874	1.40361409961199	-0.50822599101829	-0.474046659639043	58	5	1	0	0	0	0	6	1.166666667	2	1	0	2	0	0	0	3	2.333333333	3	6	211	241
"58"	"H_15_098"	"Högsjön"	19	25	0	11	4	"H"	15.4297872340426	16.436170212766	14.3617021276596	0.830678792378411	2.07446808510638	"1"	1.6094379124341	-0.413824955681654	-0.831414332196574	-0.654636253008874	1.60330748724489	-0.113781938287677	-0.932564619660655	59	2	1	0	0	0	0	3	1.333333333	2	0	0	2	1	0	0	3	3.333333333	4	3	211	241
"59"	"H_15_099"	"Högsjön"	24	50	0	0	4	"H"	14.5531914893617	15.063829787234	13.7872340425532	0.519971824031932	1.27659574468085	"1"	1.6094379124341	0.363872828758028	1.28269546116391	-0.654636253008874	-0.59331977671697	-0.113781938287677	-1.57730659757501	60	1	1	0	0	0	0	2	1.5	2	0	0	1	0	1	0	2	4	5	2	211	241
